patient	BRCA1	BRCA2
TCGA-E9-A3QA	2.1925	1.7702
TCGA-BH-A0EB	1.7575	1.0711
TCGA-BH-A1EY	2.0707	1.5709
TCGA-E2-A574	1.5366	0.0014
TCGA-D8-A1JB	2.7095	0.0158
TCGA-D8-A27P	2.5413	1.1641
TCGA-E9-A5FL	0.679	-0.9971
TCGA-LL-A5YM	2.0878	-1.3183
TCGA-BH-A1FC	3.2602	2.3953
TCGA-XX-A89A	1.9859	1.2394
TCGA-GM-A2DL	1.7532	0.2522
TCGA-AO-A12E	3.8002	2.1638
TCGA-AR-A24S	2.8402	2.0395
TCGA-E2-A15K	3.8759	2.8799
TCGA-AO-A12G	1.5266	-1.7322
TCGA-BH-A0HA	1.3567	-0.2159
TCGA-W8-A86G	1.0779	-1.0262
TCGA-E2-A153	1.9675	0.3907
TCGA-AR-A24W	2.1147	0.8568
TCGA-D8-A1JJ	2.753	2.727
TCGA-AO-A03P	3.1604	1.4808
TCGA-E2-A158	0.3796	1.5465
TCGA-A8-A079	2.9692	1.3167
TCGA-BH-A204	4.588	2.9148
TCGA-BH-A0B4	3.1212	-2.6349
TCGA-AO-A03T	1.1897	-1.1811
TCGA-E9-A1N6	2.7594	1.7053
TCGA-GM-A2DM	2.0707	0.1648
TCGA-A2-A4RX	3.1011	1.7532
TCGA-D8-A27H	-0.3022	1.7786
TCGA-E9-A1NC	-0.3383	-1.0559
TCGA-A2-A3XS	2.4359	-0.2159
TCGA-AR-A0TZ	5.0135	2.2299
TCGA-AO-A0J7	3.7464	1.8323
TCGA-D8-A1XY	2.9128	0.3685
TCGA-A2-A0CK	1.8242	0.03
TCGA-AC-A8OR	1.4011	0.8327
TCGA-A2-A0YH	2.909	2.0254
TCGA-A2-A4S2	2.2603	1.0573
TCGA-AQ-A7U7	2.1862	1.8564
TCGA-E2-A10A	3.9561	2.4359
TCGA-C8-A12P	2.651	2.1313
TCGA-GM-A5PX	1.2394	-1.8314
TCGA-A7-A13F	4.6154	2.3732
TCGA-D8-A1X9	4.0028	1.3623
TCGA-AR-A1AN	1.8604	0.2881
TCGA-D8-A1Y0	3.5312	1.5266
TCGA-EW-A1PG	1.0079	0.0158
TCGA-AN-A0FN	1.692	0.4447
TCGA-EW-A1PF	1.5316	0.7407
TCGA-AO-A03L	3.0393	1.5216
TCGA-AN-A0FY	2.753	1.0363
TCGA-AC-A7VC	2.4252	-0.4131
TCGA-E9-A1R3	1.8564	0.1388
TCGA-E2-A1IN	2.128	0.4016
TCGA-A2-A25E	4.0739	0.0854
TCGA-EW-A1IY	3.1908	2.6895
TCGA-B6-A0X4	2.1476	0.5568
TCGA-D8-A1XQ	2.2082	1.949
TCGA-A2-A0CL	3.7539	2.4753
TCGA-C8-A27A	4.5123	3.7204
TCGA-E9-A1R7	3.866	1.4281
TCGA-E9-A249	3.4687	1.3623
TCGA-A8-A07P	2.9765	-0.3566
TCGA-BH-A1F5	1.7489	1.949
TCGA-A8-A08F	1.1833	3.6266
TCGA-AC-A5XU	2.5036	0.03
TCGA-AN-A0XL	3.3379	1.1897
TCGA-E9-A1ND	2.5363	2.3048
